dataset	arch	success	processed	total	pending	coverage_pct	failure_pct_of_processed	latency_ms	api_time_ms	api_time_ratio	non_api_time_ms	llm_calls	retrieval_queries	total_tokens	prompt_tokens	completion_tokens	agent_count	complexity_units	complexity_per_second	rubric_coverage	grounded_overlap	edu_score_alignment	edu_json_compliance	token_f1	tutoreval_keypoint_precision	tutoreval_keypoint_recall	tutoreval_chapter_grounding
EduBench	classical_rag	682	682	16956	16274	4.0221750412833215	0	48170.24486803519	52595.2771260997	5.479812917194839	2152.9618768328446	1.964809384164223	1.0	3871.3797653958945	2103.051319648094	1768.3284457478005	3.0	5141.2478005865105	929.3333114016252	0.7986583698358515	0.3383658892109541	0.24189858211143694	0.0039100684261974585	0.0	0.0	0.0	0.0
EduBench	hybrid_fast	2254	2257	16956	14699	13.31092238735551	0.1329198050509526	29950.743566992016	34401.05146406389	0.8882793207270941	2195.611801242236	1.2688553682342503	3.0	1757.823868677906	615.8540372670808	1141.9698314108252	5.0	3437.823868677906	390310.8634241484	0.955314867468005	0.0	0.030179680567879324	0.003401360544217687	0.0	0.0	0.0	0.0
EduBench	non_rag_multi_agent	2104	2106	16956	14850	12.420382165605096	0.0949667616334283	32327.230988593157	35613.425855513306	9.290849246755164	2676.7618821292776	1.289448669201521	3.0	1790.6863117870723	630.1825095057035	1160.5038022813687	5.0	3500.686311787072	391205.9808991448	0.9541477633352219	0.0	0.03473847433460076	0.00491128010139417	0.0	0.0	0.0	0.0
EduBench	single_agent_no_rag	1338	1344	16956	15612	7.926397735314933	0.4464285714285714	50282.7802690583	50401.92825112108	1.086856051272817	3716.6591928251123	1.9940209267563527	0.0	3041.470104633782	1246.8512705530643	1794.6188340807175	2.0	3521.470104633782	76600.7679907534	0.7345488339359606	0.0	0.09326420029895366	0.02092675635276532	0.0	0.0	0.0	0.0
TutorEval	classical_rag	834	834	834	0	100	0	51903.13309352518	52234.9928057554	5.665532135994109	3456.7410071942445	1.8357314148681054	1.0	3974.702637889688	2322.5443645083933	1652.158273381295	3.0	5242.652278177458	366.1520141375625	0.9772524837273039	0.28117695200065373	0.0	0.0	0.1115282341767579	0.1133773613054466	0.8901162282182995	0.10566648169212549
TutorEval	hybrid_fast	834	834	834	0	100	0	49113.383693045565	47477.544364508394	1.800521727634899	3595.152278177458	1.5587529976019185	6.0	3490.2673860911273	2087.3896882494005	1402.8776978417266	6.0	6278.97242206235	208.72718916957805	0.9902278177458034	0.29530768612573116	0.0	0.0	0.11516946597631178	0.11280432605497427	0.8973678234716556	0.11012074573730346
TutorEval	non_rag_multi_agent	834	834	834	0	100	0	51048.02278177458	49000.378896882496	1.0674506848966803	4750.919664268585	1.6738609112709832	3.0	5959.258992805755	4452.784172661871	1506.474820143885	5.0	7669.258992805755	23352.18454639506	0.9809752198241407	0.0	0.0	0.0	0.0897862594521461	0.0999321337206269	0.8671758585203042	0.14454682743391636
TutorEval	single_agent_no_rag	834	834	834	0	100	0	55257.34892086331	55730.338129496406	1.1368958915785459	3787.9748201438847	1.9952038369304557	0.0	6466.209832134293	4670.526378896882	1795.68345323741	2.0	6946.209832134293	45480.459810621665	0.9688021011762019	0.0	0.0	0.0	0.08645654599665566	0.09966115529337113	0.8422964930935057	0.14108337029814755
